Time,MATLAB_RPM_1,MATLAB_RPM_2
92.89,2027.07862230925,3513.8
92.9,2028.32364840066,3513.8
92.91,2029.71327159252,3513.8
92.92,2030.93850538934,3513.8
92.93,2032.31240820678,3513.8
92.94,2033.29306851685,3513.8
92.95,2034.32715712263,3513.8
92.96,2035.15766045624,3513.8
92.97,2036.21862237002,3513.8
92.98,2037.06279931728,3437.30000000011
92.99,2038.18506960795,3437.3
93,2039.24948551156,3437.3
93.01,2040.13379068138,3437.3
93.02,2040.95378317986,3437.3
93.03,2041.95173908144,3437.3
93.04,2042.79737108274,3437.3
93.05,2043.72820674573,3437.3
93.06,2044.41298495957,3437.3
93.07,2045.06883445998,3437.3
93.08,2045.98963719663,3426.10000000002
93.09,2046.93971325413,3426.1
93.1,2047.54906540232,3426.1
93.11,2048.53611292086,3426.1
93.12,2049.35459996152,3426.1
93.13,2050.23816729525,3426.1
93.14,2050.97209455214,3426.1
93.15,2051.85641584122,3426.1
93.16,2052.6467941169,3426.1
93.17,2053.60474962868,3426.1
93.18,2054.33327064476,3531.9999999997
93.19,2055.25508425888,3532
93.2,2056.102445308,3532
93.21,2056.77470653229,3532
93.22,2057.88489001341,3532
93.23,2058.54141657248,3532
93.24,2059.2254810942,3532
