Time,Vdc
41.2,540.078027342323
41.21,540.045348774688
41.22,540.080911027748
41.23,540.05370808381
41.24,539.996428481394
41.25,540.022817517337
41.26,540.099145834076
41.27,540.085387309
41.28,540.011957071896
41.29,540.065523333886
41.3,540.038193752217
41.31,540.070188458407
41.32,540.013981863127
41.33,540.04940913967
41.34,540.043640011649
41.35,540.048323820074
41.36,540.04365501194
41.37,540.097484519701
41.38,540.045764894519
41.39,540.034415229116
41.4,540.059909788654
41.41,539.984933398279
41.42,540.021611774379
41.43,540.093195562031
41.44,540.017342563237
41.45,540.0751164691
41.46,540.030828378554
41.47,540.027605468356
41.48,540.05239479017
41.49,540.024986207858
41.5,540.05489992087
41.51,540.065685919236
41.52,540.069944086767
41.53,540.050586201671
41.54,540.055662339593
41.55,540.017849558029
41.56,540.013946253733
41.57,540.039307048801
41.58,540.026090191552
41.59,540.040918340642
41.6,540.007065641308
41.61,540.083433135432
41.62,540.052083366685
41.63,540.04771461178
41.64,540.075611418988
41.65,539.999226767437
41.66,540.058668433646
41.67,540.044496410935
41.68,540.087780264314
41.69,540.01421474736
41.7,540.044619744824
41.71,540.027562188299
41.72,540.015074780957
41.73,540.063031931922
41.74,540.021095097835
41.75,540.031985737851
41.76,540.051517046104
41.77,540.008438983289
41.78,540.035359813146
41.79,540.041643670166
41.8,540.068287637653
41.81,540.066859283376
41.82,540.047885638957
41.83,540.064555064697
41.84,540.050577929375
41.85,540.011016738385
41.86,540.040349427231
41.87,540.00985625528
41.88,539.949084333773
41.89,540.048441435988
41.9,539.996402478267
41.91,540.0204759799
41.92,540.033069105192
41.93,540.043633429738
41.94,539.982669651104
41.95,539.995741167008
41.96,540.021280109978
41.97,540.024384931633
41.98,540.037988103001
41.99,539.974503197321
42,539.997978763214
42.01,540.03997412367
42.02,539.997544823778
42.03,540.00744477399
42.04,540.004031878431
42.05,540.024846129001
42.06,539.972508115331
42.07,539.949407468844
42.08,539.973603517266
42.09,539.992838344417
42.1,540.010125310497
42.11,540.00475425037
42.12,540.00111527662
42.13,539.941184919049
42.14,540.01086685673
42.15,540.03415825003
42.16,539.970692032496
42.17,540.037455706313
42.18,540.021034235671
42.19,539.958032914501
42.2,540.036398250307
42.21,539.975819074605
42.22,539.936666160669
42.23,540.014412196941
42.24,539.973119417766
42.25,540.007706407829
42.26,540.018171575147
42.27,540.012252101696
42.28,539.976731026162
42.29,539.991410538044
42.3,539.983639362991
42.31,539.937203923587
42.32,539.989655168219
42.33,539.965314166253
42.34,539.942193524188
42.35,540.013269383398
42.36,539.929533703531
42.37,540.033123958726
42.38,539.996450668161
42.39,539.922025434626
42.4,539.978809456769
42.41,539.9919715063
42.42,539.996692784546
42.43,540.016591108934
42.44,539.976260216559
42.45,539.977703666845
42.46,540.010500919391
42.47,540.003124025017
42.48,540.031012709014
42.49,540.005623025357
42.5,540.001761865873
42.51,539.966006338295
42.52,540.050712607029
42.53,539.996822538724
42.54,539.964123694896
42.55,540.037616401881
42.56,539.99078500234
42.57,540.060939382032
42.58,540.036168510988
42.59,539.973689725592
42.6,540.043789819589
42.61,539.99404878985
42.62,540.047128749996
42.63,540.001125303862
42.64,540.002624416577
42.65,540.007361506235
42.66,540.024585792795
42.67,539.989808234036
42.68,539.999895676587
42.69,540.014044267936
42.7,540.056164975951
42.71,539.985707881462
42.72,539.968272361717
42.73,540.025000886579
42.74,540.021216336035
42.75,539.985610483329
42.76,539.98908266067
42.77,539.984557874714
42.78,540.019574687461
42.79,540.013374155829
42.8,539.967018510491
42.81,540.016978671994
42.82,539.954827561907
42.83,540.004716284364
42.84,539.952292823853
42.85,539.96487430262
42.86,539.964993659021
42.87,540.023398012543
42.88,540.015554742516
42.89,539.964689744055
42.9,540.00446117639
42.91,540.045249683524
42.92,539.988684011606
42.93,540.069801950177
42.94,540.051802467373
42.95,539.997055733897
42.96,540.075119966313
42.97,540.017886457615
42.98,540.083366758966
42.99,540.07099571526
43,540.062914023265
43.01,540.075715683398
43.02,540.124507185221
43.03,540.096521923132
43.04,540.041188636718
43.05,540.07433754874
43.06,540.104453166214
43.07,540.078755568735
43.08,540.142540564528
43.09,540.154367492105
43.1,540.099495641536
43.11,540.095011382246
43.12,540.101397033119
43.13,540.081475582138
43.14,540.053084646033
43.15,540.137181674139
43.16,540.152669133096
43.17,540.133152352161
43.18,540.125128841939
43.19,540.141799610471
43.2,540.118527977847
43.21,540.140520034362
43.22,540.15895832674
43.23,540.042758912423
43.24,540.048986328183
43.25,540.048731915129
43.26,540.107118563664
43.27,540.11970938976
43.28,540.151279152899
43.29,540.147631288306
43.3,540.082742199514
43.31,540.099907579406
43.32,540.108847729523
43.33,540.129680183832
43.34,540.059770223674
43.35,540.11191308572
43.36,540.165846538239
43.37,540.062006540293
43.38,540.143979267891
43.39,540.055750135194
43.4,540.108516106763
43.41,540.117453739634
43.42,540.107164555018
43.43,540.135497033687
43.44,540.082308794901
43.45,540.151037539973
43.46,540.071827929494
43.47,540.167303521493
43.48,540.090693404076
43.49,540.110359257198
43.5,540.136459244267
43.51,540.093772057553
43.52,540.072670022726
43.53,540.101719095864
43.54,540.118011537546
43.55,540.074516802708
43.56,540.113580628052
43.57,540.143897529163
43.58,540.118467870338
43.59,540.084307211479
43.6,540.055691769247
43.61,540.092275126113
43.62,540.137701983597
43.63,540.130117568127
43.64,540.134938853242
43.65,540.143095304194
43.66,540.127723847471
43.67,540.098784387212
43.68,540.089155716904
43.69,540.11398960168
43.7,540.077584213627
43.71,540.055343512863
43.72,540.13883526619
43.73,540.072919225131
43.74,540.113064509789
43.75,540.142443491637
43.76,540.13425747481
43.77,540.13533864227
43.78,540.030785923601
43.79,540.058793311372
43.8,540.09450138563
43.81,540.141943048438
43.82,540.08537029269
43.83,540.129121737957
43.84,540.133334672077
43.85,540.076358659041
43.86,540.044528288637
43.87,540.136505778793
43.88,540.12203475032
43.89,540.071201350025
43.9,540.157024762337
43.91,540.038131491429
43.92,540.081985160408
43.93,540.050201251708
43.94,540.106356954219
43.95,540.062452606088
43.96,540.129994879965
43.97,540.049147934498
43.98,540.127379869519
43.99,540.105358145032
44,540.137731235789
44.01,540.098304033367
44.02,540.089670401336
44.03,540.159794099479
44.04,540.099771941016
44.05,540.064319823998
44.06,540.148929107224
44.07,540.100325490681
44.08,540.125204493974
44.09,540.045515054654
44.1,540.127227306287
44.11,540.113885581654
44.12,540.119386757476
44.13,540.09214406416
44.14,540.044545849349
44.15,540.038826613041
44.16,540.071817601489
44.17,540.051930182146
44.18,540.139670103535
44.19,540.144032559972
44.2,540.097822947573
44.21,540.111097738472
44.22,540.134965881118
44.23,540.093593891795
44.24,540.110976515841
44.25,540.098682967238
44.26,540.060596347187
44.27,540.058790166112
44.28,540.028385275192
44.29,540.043205307383
44.3,540.106361827229
44.31,540.072521259479
44.32,540.127449323714
44.33,540.101840962957
44.34,540.042057828651
44.35,540.099291341286
44.36,540.129863302824
44.37,540.149041418211
44.38,540.031908410634
44.39,540.078704657549
44.4,540.120105277971
44.41,540.06025703133
44.42,540.044385053583
44.43,540.118272665242
44.44,540.06219747074
44.45,540.10418268538
44.46,540.116124120492
44.47,540.031200418201
44.48,540.10965478039
44.49,540.034511763664
44.5,540.087248989134
44.51,540.07886114664
44.52,540.05726018037
44.53,540.037687766259
44.54,540.049609665662
44.55,540.054599230334
44.56,540.117345978612
44.57,540.031321647463
44.58,540.122989455407
44.59,540.075199212355
44.6,540.074192415193
44.61,540.083420615281
44.62,540.034062630732
44.63,540.150910865222
44.64,540.041432694103
44.65,540.073361972199
44.66,540.036268836408
44.67,540.036667878317
